,Entity,Year,Disasters,Deaths
1,Afghanistan,1950,Earthquakes,210
2,Afghanistan,1950,Floods,5.1
3,Afghanistan,1960,Floods,10.7
4,Afghanistan,1970,Earthquakes,6.1
5,Afghanistan,1970,Floods,32.1
6,Afghanistan,1970,Landslides,10
7,Afghanistan,1980,Earthquakes,51.3
8,Afghanistan,1980,Landslides,7
9,Afghanistan,1990,Earthquakes,742.6
10,Afghanistan,1990,Floods,199
11,Afghanistan,1990,Storms,1
12,Afghanistan,1990,Landslides,73.9
13,Afghanistan,1990,ExtremeTemperature,22.4
14,Afghanistan,2000,Drought,3.7
15,Afghanistan,2000,Earthquakes,123.6
16,Afghanistan,2000,Floods,117.5
17,Afghanistan,2000,Storms,33.1
18,Afghanistan,2000,Landslides,4.3
19,Afghanistan,2000,ExtremeTemperature,166.5
20,Afghanistan,2010,Earthquakes,21.7
21,Afghanistan,2010,Floods,137
22,Afghanistan,2010,Storms,15.1
23,Afghanistan,2010,Landslides,84.8
24,Afghanistan,2010,ExtremeTemperature,4.5
25,Africa,1900,Drought,1100
26,Africa,1900,Earthquakes,10
27,Africa,1900,VolcanicActivities,1.7
28,Africa,1910,Drought,8500
29,Africa,1910,Earthquakes,1.2
30,Africa,1920,Drought,2400
31,Africa,1920,Earthquakes,1.2
32,Africa,1920,Floods,300
33,Africa,1930,Earthquakes,2.2
34,Africa,1940,Drought,5000
35,Africa,1940,Earthquakes,27.6
36,Africa,1940,Storms,16.5
37,Africa,1950,Earthquakes,128.3
38,Africa,1950,Floods,23.7
39,Africa,1950,Storms,64.2
40,Africa,1960,Drought,205
41,Africa,1960,Earthquakes,1257.7
42,Africa,1960,Floods,134.3
43,Africa,1960,Storms,15.2
44,Africa,1960,Landslides,30.8
45,Africa,1970,Drought,11900
46,Africa,1970,VolcanicActivities,21.2
47,Africa,1970,Floods,132.8
48,Africa,1970,Storms,41.5
49,Africa,1970,Wildfires,0.2
50,Africa,1980,Drought,55495.4
51,Africa,1980,Earthquakes,297
52,Africa,1980,VolcanicActivities,178.3
53,Africa,1980,Floods,165
54,Africa,1980,MassMovements,7.7
55,Africa,1980,Storms,108
56,Africa,1980,Landslides,1.1
57,Africa,1980,Wildfires,0.4
58,Africa,1990,Drought,23.9
59,Africa,1990,Earthquakes,79.9
60,Africa,1990,Floods,731.7
61,Africa,1990,MassMovements,4.7
62,Africa,1990,Storms,113
63,Africa,1990,Landslides,17.8
64,Africa,1990,Wildfires,10.6
65,Africa,1990,ExtremeTemperature,10.2
66,Africa,2000,Drought,88.8
67,Africa,2000,Earthquakes,333.5
68,Africa,2000,VolcanicActivities,20.6
69,Africa,2000,Floods,794.8
70,Africa,2000,MassMovements,9.8
71,Africa,2000,Storms,127.3
72,Africa,2000,Landslides,20.2
73,Africa,2000,Wildfires,15.4
74,Africa,2000,ExtremeTemperature,12.5
75,Africa,2010,Drought,2000
76,Africa,2010,Earthquakes,3.1
77,Africa,2010,Floods,724.5
78,Africa,2010,Storms,291.6
79,Africa,2010,Landslides,242.5
80,Africa,2010,Wildfires,7.1
81,Africa,2010,ExtremeTemperature,14.5
82,Albania,1900,Earthquakes,12
83,Albania,1920,Earthquakes,20
84,Albania,1930,Earthquakes,15
85,Albania,1940,Earthquakes,4.3
86,Albania,1960,Earthquakes,2.6
87,Albania,1970,Earthquakes,3.5
88,Albania,1980,Earthquakes,0.1
89,Albania,1980,Landslides,5.7
90,Albania,1980,ExtremeTemperature,6.8
91,Albania,1990,Floods,1.5
92,Albania,2000,Floods,0.4
93,Albania,2000,Storms,0.8
94,Albania,2000,ExtremeTemperature,0.3
95,Albania,2010,Earthquakes,5.1
96,Albania,2010,Floods,0.4
97,Albania,2010,ExtremeTemperature,1.1
98,Algeria,1910,Earthquakes,1.2
99,Algeria,1920,Floods,300
100,Algeria,1940,Earthquakes,27.6
101,Algeria,1950,Earthquakes,125
102,Algeria,1950,Floods,2.5
103,Algeria,1960,Earthquakes,6.9
104,Algeria,1960,Floods,15.3
105,Algeria,1970,Floods,3.2
106,Algeria,1980,Earthquakes,268.6
107,Algeria,1980,Floods,16
108,Algeria,1990,Earthquakes,19.3
109,Algeria,1990,Floods,10.3
110,Algeria,1990,Landslides,1.5
111,Algeria,1990,Wildfires,2.2
112,Algeria,2000,Earthquakes,227.9
113,Algeria,2000,Floods,131.2
114,Algeria,2000,Storms,2.7
115,Algeria,2000,Wildfires,0.8
116,Algeria,2000,ExtremeTemperature,4
117,Algeria,2010,Earthquakes,0.6
118,Algeria,2010,Floods,9.7
119,Algeria,2010,ExtremeTemperature,0.8
120,American Samoa,1960,Storms,9
121,American Samoa,2000,Earthquakes,3.4
122,American Samoa,2000,Floods,0.6
123,Angola,2000,Drought,5.8
124,Angola,2000,Floods,32.8
125,Angola,2000,Landslides,1.3
126,Angola,2010,Floods,44.2
127,Anguilla,1960,Storms,0.5
128,Anguilla,2010,Storms,0.4
129,Antigua and Barbuda,1950,Storms,0.2
130,Antigua and Barbuda,1960,Storms,0.2
131,Antigua and Barbuda,1980,Storms,0.2
132,Antigua and Barbuda,1990,Storms,0.6
133,Antigua and Barbuda,2010,Storms,0.1
134,Argentina,1920,Earthquakes,40
135,Argentina,1940,Earthquakes,1000
136,Argentina,1950,Floods,36
137,Argentina,1960,Floods,11.8
138,Argentina,1960,Landslides,4.5
139,Argentina,1970,Earthquakes,7
140,Argentina,1970,Floods,3.6
141,Argentina,1970,Storms,18.5
142,Argentina,1970,ExtremeTemperature,10
143,Argentina,1980,Earthquakes,0.6
144,Argentina,1980,Floods,10.6
145,Argentina,1980,Storms,0.2
146,Argentina,1980,Landslides,3
147,Argentina,1990,Floods,8.5
148,Argentina,1990,Storms,2.1
149,Argentina,1990,Wildfires,2.4
150,Argentina,2000,Floods,7.3
151,Argentina,2000,Storms,5.7
152,Argentina,2000,Landslides,0.4
153,Argentina,2000,Wildfires,0.8
154,Argentina,2000,ExtremeTemperature,4.3
155,Argentina,2010,Drought,0.8
156,Argentina,2010,Floods,7.9
157,Argentina,2010,Storms,3.3
158,Argentina,2010,Landslides,2.4
159,Argentina,2010,ExtremeTemperature,4.2
160,Armenia,1930,Earthquakes,289
161,Armenia,1990,Floods,0.4
162,Armenia,2000,Floods,0.1
163,Asia,1900,Drought,125000
164,Asia,1900,Earthquakes,4842.9
165,Asia,1900,VolcanicActivities,15.5
166,Asia,1900,Storms,1101.2
167,Asia,1910,Earthquakes,3473.4
168,Asia,1910,VolcanicActivities,647.5
169,Asia,1910,Floods,10137.9
170,Asia,1910,Storms,5630
171,Asia,1920,Drought,350000
172,Asia,1920,Earthquakes,38548.6
173,Asia,1920,VolcanicActivities,14.4
174,Asia,1920,Floods,3.6
175,Asia,1920,Storms,11381.9
176,Asia,1920,Landslides,20
177,Asia,1930,Earthquakes,13111.9
178,Asia,1930,VolcanicActivities,266.9
179,Asia,1930,Floods,436093.3
180,Asia,1930,Storms,7772.8
181,Asia,1930,Landslides,50
182,Asia,1940,Drought,340000
183,Asia,1940,Earthquakes,3395.3
184,Asia,1940,Floods,6065.2
185,Asia,1940,Storms,12554.9
186,Asia,1940,Landslides,50
187,Asia,1950,Earthquakes,1439.2
188,Asia,1950,VolcanicActivities,195
189,Asia,1950,Floods,205570.1
190,Asia,1950,Storms,2502.5
191,Asia,1950,Landslides,77.8
192,Asia,1950,ExtremeTemperature,132
193,Asia,1960,Drought,150800
194,Asia,1960,Earthquakes,3054.9
195,Asia,1960,VolcanicActivities,313.6
196,Asia,1960,Floods,2596.6
197,Asia,1960,MassMovements,15
198,Asia,1960,Storms,12052.5
199,Asia,1960,Landslides,135
200,Asia,1960,ExtremeTemperature,50
201,Asia,1970,Drought,8.1
202,Asia,1970,Earthquakes,32729.5
203,Asia,1970,VolcanicActivities,30
204,Asia,1970,Floods,6465.6
205,Asia,1970,Storms,34436.1
206,Asia,1970,Landslides,131.8
207,Asia,1970,ExtremeTemperature,89.5
208,Asia,1980,Drought,229.4
209,Asia,1980,Earthquakes,890.3
210,Asia,1980,VolcanicActivities,22.9
211,Asia,1980,Floods,4194.4
212,Asia,1980,MassMovements,87.3
213,Asia,1980,Storms,4011.1
214,Asia,1980,Landslides,293.7
215,Asia,1980,Wildfires,21.2
216,Asia,1980,ExtremeTemperature,233.6
217,Asia,1990,Drought,282.3
218,Asia,1990,Earthquakes,9539.3
219,Asia,1990,VolcanicActivities,89.6
220,Asia,1990,Floods,5301.6
221,Asia,1990,MassMovements,46.8
222,Asia,1990,Storms,18449
223,Asia,1990,Landslides,530.7
224,Asia,1990,Wildfires,47.3
225,Asia,1990,ExtremeTemperature,594.7
226,Asia,2000,Drought,19.1
227,Asia,2000,Earthquakes,44765.3
228,Asia,2000,VolcanicActivities,0.8
229,Asia,2000,Floods,3714.8
230,Asia,2000,MassMovements,6.6
231,Asia,2000,Storms,16007.1
232,Asia,2000,Landslides,613.1
233,Asia,2000,Wildfires,0.5
234,Asia,2000,ExtremeTemperature,908.7
235,Asia,2010,Drought,8.8
236,Asia,2010,Earthquakes,4225.1
237,Asia,2010,VolcanicActivities,88.1
238,Asia,2010,Floods,3723.1
239,Asia,2010,MassMovements,9.2
240,Asia,2010,Storms,1968.6
241,Asia,2010,Landslides,601.6
242,Asia,2010,Wildfires,15.1
243,Asia,2010,ExtremeTemperature,753.3
244,Australia,1930,Wildfires,7.1
245,Australia,1940,Wildfires,4.9
246,Australia,1950,Floods,7
247,Australia,1960,Drought,60
248,Australia,1960,Wildfires,7.4
249,Australia,1970,Floods,6
250,Australia,1970,Storms,11.2
251,Australia,1970,Wildfires,0.3
252,Australia,1980,Earthquakes,1.2
253,Australia,1980,Floods,7.1
254,Australia,1980,Storms,4
255,Australia,1980,Wildfires,8.6
256,Australia,1990,Floods,3.8
257,Australia,1990,Storms,5.1
258,Australia,1990,Landslides,2.8
259,Australia,1990,Wildfires,0.7
260,Australia,1990,ExtremeTemperature,2.3
261,Australia,2000,Floods,3.4
262,Australia,2000,Storms,1.2
263,Australia,2000,Wildfires,20.2
264,Australia,2000,ExtremeTemperature,34.7
265,Australia,2010,Floods,4.9
266,Australia,2010,Storms,3.3
267,Australia,2010,Wildfires,4.1
268,Australia,2010,ExtremeTemperature,13.9
269,Austria,1950,Landslides,23.8
270,Austria,1970,Landslides,1.5
271,Austria,1980,Floods,1.2
272,Austria,1980,Storms,1.2
273,Austria,1980,Landslides,4.2
274,Austria,1990,Floods,1.3
275,Austria,1990,Storms,0.3
276,Austria,1990,Landslides,5
277,Austria,2000,Floods,1.4
278,Austria,2000,Storms,0.7
279,Austria,2000,Landslides,1.3
280,Austria,2000,ExtremeTemperature,35.2
281,Austria,2010,Floods,0.4
282,Austria,2010,Storms,1.6
283,Austria,2010,ExtremeTemperature,0.6
284,Azerbaijan,1900,Earthquakes,8.6
285,Azerbaijan,1990,Earthquakes,0.2
286,Azerbaijan,1990,Floods,1.6
287,Azerbaijan,2000,Earthquakes,3.1
288,Azerbaijan,2000,Landslides,1.1
289,Azerbaijan,2010,Floods,0.3
290,Azerbaijan,2010,ExtremeTemperature,0.5
291,Bahamas,1930,Storms,1.4
292,Bahamas,1940,Storms,2.2
293,Bahamas,1960,Storms,0.5
294,Bahamas,1990,Storms,0.5
295,Bahamas,2000,Storms,1.4
296,Bahamas,2010,Storms,39
297,Bangladesh,1900,Storms,17.2
298,Bangladesh,1920,Storms,0.6
299,Bangladesh,1940,Drought,190000
300,Bangladesh,1940,Storms,6650
301,Bangladesh,1950,Storms,70
302,Bangladesh,1960,Floods,1029
303,Bangladesh,1960,Storms,9262.3
304,Bangladesh,1970,Drought,1.8
305,Bangladesh,1970,Floods,2937.5
306,Bangladesh,1970,Storms,30714.4
307,Bangladesh,1980,Earthquakes,0.3
308,Bangladesh,1980,Floods,706.4
309,Bangladesh,1980,Storms,1897.7
310,Bangladesh,1980,ExtremeTemperature,17
311,Bangladesh,1990,Earthquakes,2.9
312,Bangladesh,1990,Floods,294.4
313,Bangladesh,1990,Storms,14259.4
314,Bangladesh,1990,ExtremeTemperature,80.1
315,Bangladesh,2000,Earthquakes,0.4
316,Bangladesh,2000,Floods,240.4
317,Bangladesh,2000,Storms,558.8
318,Bangladesh,2000,Landslides,1.3
319,Bangladesh,2000,ExtremeTemperature,133.5
320,Bangladesh,2010,Earthquakes,0.9
321,Bangladesh,2010,Floods,65.3
322,Bangladesh,2010,Storms,59.2
323,Bangladesh,2010,Landslides,25.2
324,Bangladesh,2010,ExtremeTemperature,21.8
325,Barbados,1950,Storms,5.7
326,Barbados,1970,Floods,0.3
327,Barbados,2000,Storms,0.1
328,Barbados,2010,Storms,0.1
329,Belarus,1990,Floods,0.2
330,Belarus,1990,Storms,0.5
331,Belarus,2000,ExtremeTemperature,0.5
332,Belarus,2010,ExtremeTemperature,4.9
333,Belgium,1900,Floods,0.6
334,Belgium,1930,Storms,6
335,Belgium,1950,Floods,1.5
336,Belgium,1960,ExtremeTemperature,1.2
337,Belgium,1980,Earthquakes,0.2
338,Belgium,1990,Floods,0.1
339,Belgium,1990,Storms,2.4
340,Belgium,2000,Floods,0.2
341,Belgium,2000,Storms,0.7
342,Belgium,2000,ExtremeTemperature,211.8
343,Belgium,2010,Floods,0.4
344,Belgium,2010,Storms,0.8
345,Belgium,2010,ExtremeTemperature,112.9
346,Belize,1930,Storms,150
347,Belize,1950,Storms,1.6
348,Belize,1960,Storms,27.5
349,Belize,1970,Storms,0.5
350,Belize,1990,Storms,0.9
351,Belize,2000,Floods,0.1
352,Belize,2000,Storms,5.4
353,Benin,1970,Wildfires,0.2
354,Benin,1980,Floods,6.1
355,Benin,1990,Floods,3.7
356,Benin,2000,Floods,3.5
357,Benin,2010,Floods,5
358,Benin,2010,Wildfires,0.1
359,Bermuda,2000,Storms,0.4
360,Bhutan,1990,Floods,2.2
361,Bhutan,1990,Storms,1.7
362,Bhutan,2000,Earthquakes,1.1
363,Bhutan,2000,Floods,20
364,Bhutan,2000,Storms,1.2
365,Bhutan,2010,Earthquakes,0.1
366,Bolivia,1960,Floods,7.8
367,Bolivia,1970,Floods,8.1
368,Bolivia,1980,Floods,30.4
369,Bolivia,1990,Earthquakes,10
370,Bolivia,1990,Floods,6
371,Bolivia,1990,Landslides,14.9
372,Bolivia,1990,Wildfires,0.3
373,Bolivia,2000,Floods,36.1
374,Bolivia,2000,Storms,2
375,Bolivia,2000,Landslides,6.9
376,Bolivia,2000,ExtremeTemperature,1.5
377,Bolivia,2010,Floods,32.3
378,Bolivia,2010,Landslides,11.6
379,Bolivia,2010,ExtremeTemperature,2.2
380,Bosnia and Herzegovina,2000,Storms,0.4
381,Bosnia and Herzegovina,2000,Landslides,0.6
382,Bosnia and Herzegovina,2000,ExtremeTemperature,0.1
383,Bosnia and Herzegovina,2010,Floods,3
384,Bosnia and Herzegovina,2010,ExtremeTemperature,0.6
385,Botswana,1980,Floods,0.8
386,Botswana,1990,Floods,2
387,Botswana,2000,Floods,0.3
388,Botswana,2010,Floods,1.2
389,Brazil,1940,Floods,20
390,Brazil,1940,Storms,10
391,Brazil,1950,Floods,21.2
392,Brazil,1950,Storms,5.9
393,Brazil,1950,Landslides,6.6
394,Brazil,1960,Floods,181.8
395,Brazil,1960,Storms,3.6
396,Brazil,1960,Landslides,78.6
397,Brazil,1960,ExtremeTemperature,11.3
398,Brazil,1970,Floods,114.2
399,Brazil,1970,Storms,1
400,Brazil,1970,Landslides,12.1
401,Brazil,1970,ExtremeTemperature,12.6
402,Brazil,1980,Drought,2
403,Brazil,1980,Earthquakes,0.1
404,Brazil,1980,Floods,159.8
405,Brazil,1980,Storms,11.6
406,Brazil,1980,Landslides,14.3
407,Brazil,1980,ExtremeTemperature,7.7
408,Brazil,1990,Floods,38.6
409,Brazil,1990,Storms,0.3
410,Brazil,1990,Landslides,37.8
411,Brazil,1990,Wildfires,0.1
412,Brazil,2000,Earthquakes,0.1
413,Brazil,2000,Floods,86.6
414,Brazil,2000,Storms,2.6
415,Brazil,2000,Landslides,22.1
416,Brazil,2000,ExtremeTemperature,0.7
417,Brazil,2010,Floods,161.6
418,Brazil,2010,Storms,0.4
419,Brazil,2010,Landslides,3
420,Brazil,2010,ExtremeTemperature,3.2
421,British Virgin Islands,2010,Storms,0.9
422,Bulgaria,1920,Earthquakes,10.7
423,Bulgaria,1960,Landslides,1.1
424,Bulgaria,1970,Earthquakes,2
425,Bulgaria,1980,Earthquakes,0.3
426,Bulgaria,1990,Earthquakes,0.1
427,Bulgaria,1990,ExtremeTemperature,0.3
428,Bulgaria,2000,Floods,5.2
429,Bulgaria,2000,Storms,0.2
430,Bulgaria,2000,Wildfires,1
431,Bulgaria,2000,ExtremeTemperature,3.7
432,Bulgaria,2010,Floods,3
433,Bulgaria,2010,Storms,0.1
434,Bulgaria,2010,ExtremeTemperature,3.6
435,Burkina Faso,1980,Floods,1.6
436,Burkina Faso,1990,Floods,2.8
437,Burkina Faso,2000,Floods,6.7
438,Burkina Faso,2010,Floods,6.1
439,Burundi,1980,Floods,1.2
440,Burundi,1990,Drought,0.6
441,Burundi,2000,Drought,12
442,Burundi,2000,Earthquakes,0.3
443,Burundi,2000,Floods,3.6
444,Burundi,2010,Floods,17.2
445,Burundi,2010,Storms,2.1
446,Burundi,2010,Landslides,5.4
447,Cambodia,1990,Floods,67.2
448,Cambodia,1990,Storms,2.5
449,Cambodia,2000,Floods,45.5
450,Cambodia,2000,Storms,1.9
451,Cambodia,2010,Floods,52.6
452,Cameroon,1980,VolcanicActivities,178.3
453,Cameroon,1980,Floods,0.2
454,Cameroon,1990,Floods,3.2
455,Cameroon,2000,Floods,5.2
456,Cameroon,2000,Landslides,2
457,Cameroon,2010,Floods,4.5
458,Cameroon,2010,Landslides,5.4
459,Canada,1900,MassMovements,12.7
460,Canada,1910,Storms,2.8
461,Canada,1910,Landslides,11.8
462,Canada,1910,Wildfires,7.3
463,Canada,1920,Earthquakes,2.7
464,Canada,1920,Wildfires,4.3
